spider_name,running_time,No of Errors,ERROR,log_link,issue_link
luxuryrentalsuites_ca,0:00:50,2,2023-02-21 02:16:32 [scrapy.downloadermiddlewares.retry] ERROR: Gave up retrying <GET https://luxuryrentalsuites.ca/lrs/properties/988-richards-street-ph1/> (failed 4 times): 404 Not Found,https://scrapyd.rentola.tech//3/logs/python_spiders/luxuryrentalsuites_ca/164b0806b17c11ed880d6ea28d1d6c4e.log,https://rentola-dev.atlassian.net/browse/SFR-1816
fivestar_ie,0:01:37,7,2023-02-21 02:19:23 [scrapy.core.scraper] ERROR: Spider error processing <GET https://fivestar.ie/luxury-long-term-rentals/clogheen/> (referer: https://fivestar.ie/luxury-long-term-rentals/ireland/dublin/),https://scrapyd.rentola.tech//2/logs/python_spiders/fivestar_ie/16e7ff26b17c11ed9f522e3fcf2c521e.log,https://rentola-dev.atlassian.net/browse/SFR-1794
dublinshortlets_com,0:02:10,1,2023-02-21 04:26:24 [scrapy.downloadermiddlewares.retry] ERROR: Gave up retrying <GET https://www.dublinshortlets.com/properties/page/5/> (failed 4 times): 404 Not Found,https://scrapyd.rentola.tech//2/logs/python_spiders/dublinshortlets_com/4441c038b17c11ed9f522e3fcf2c521e.log,https://rentola-dev.atlassian.net/browse/SFR-1793
melun_arthurimmo_com,0:00:52,3,UnboundLocalError: local variable 'property_type' referenced before assignment,https://scrapyd.rentola.tech//0/logs/python_spiders/melun_arthurimmo_com/29764c92b17c11eda875de2d4d8319e4.log,https://rentola-dev.atlassian.net/browse/SFR-1887
tridentproperty_com,0:01:12,2,2023-02-21 09:28:18 [scrapy.core.scraper] ERROR: Spider error processing <GET https://tridentproperty.com/property/1725-twisted-river-drive-marysville/> (referer: https://tridentproperty.com/page-without-sidebar-3-3/),https://scrapyd.rentola.tech//1/logs/python_spiders/tridentproperty_com/75e240d6b17c11edbe67d6d6f75c2ca5.log,https://rentola-dev.atlassian.net/browse/SFR-1986
search_vivastreet_com,0:22:45,13,2023-02-21 06:21:48 [scrapy.downloadermiddlewares.retry] ERROR: Gave up retrying <GET https://www.vivastreet.com/immobilier-location-appartements-meubles/st-quentin-02100/location-studios-meubl-s/312205805> (failed 4 times): 403 Forbidden,https://scrapyd.rentola.tech//3/logs/python_spiders/search_vivastreet_com/592d0c96b17c11ed880d6ea28d1d6c4e.log,https://rentola-dev.atlassian.net/browse/SFR-1762
affitto_it,4:17:15,1,2023-02-21 11:24:32 [scrapy.core.scraper] ERROR: Spider error processing <GET https://www.affitto.it/dettaglio.php?codice_tipo_annuncio=OI&id_annuncio=10036530> (referer: https://www.affitto.it/affitti-Firenze_FI.htm?pg=4),https://scrapyd.rentola.tech//0/logs/python_spiders/affitto_it/637daa8eb17c11eda875de2d4d8319e4.log,https://rentola-dev.atlassian.net/browse/SFR-1932
mioaffitto_it,11:00:54,4,2023-02-21 10:17:18 [scrapy.core.scraper] ERROR: Spider error processing <GET https://www.mioaffitto.it/affitto_monolocale_pistoia/monolocale-arredato-pistoia_6890320.html> (referer: https://www.mioaffitto.it/affitti/affitto-privati_0_0_0/306),https://scrapyd.rentola.tech//0/logs/python_spiders/mioaffitto_it/f8eee084b17b11eda875de2d4d8319e4.log,https://rentola-dev.atlassian.net/browse/SFR-1932
belleproperty_com,0:19:54,16,ValueError: could not convert string to float: '685PW',https://scrapyd.rentola.tech//2/logs/python_spiders/belleproperty_com/4d2fbc54b17c11ed9f522e3fcf2c521e.log,https://rentola-dev.atlassian.net/browse/SFR-1581
